Biskupija,Dekanat,Zupni_ured,Naziv,Adresa,Mjesto,Latitude,Longitude,Phone,URL
Mostarsko-duvanjska biskupija,Mostarski dekanat,BLAGAJ - BUNA,Presveto Trojstvo,,88202 Buna,4.324.665.601,1.783.867.614,036/480-600,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/blagaj-buna/"" target=""_blank"">BLAGAJ - BUNA</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,BUHOVO,Presveto Trojstvo,,88220 Široki Brijeg,4.331.851.157,1.757.693.458,039/716-190,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/buhovo/"" target=""_blank"">BUHOVO</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,BUKOVICA,Sv. Franjo Asiški,,88220 Mesihovina,436.137.927,1.726.444.373,063/320-057,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/bukovica/"" target=""_blank"">BUKOVICA</a>"
Mostarsko-duvanjska biskupija,Čapljinski dekanat,ČAPLJINA,Sv. Franjo Asiški,"Gojka Šuška b.b., Peline",88300 ČAPLJINA,4.310.853.764,1.770.596.979,036 805-201,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/capljina/"" target=""_blank"">ČAPLJINA</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,ČERIN,Sv. Stjepan Prvomučenik,,88265 Čerin,4.327.191.782,1.763.791.996,036/652-139,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/cerin/"" target=""_blank"">ČERIN</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,ČITLUK,Krist Kralj,,88260 Čitluk,4.323.033.556,1.770.336.718,036/642-540,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/citluk/"" target=""_blank"">ČITLUK</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,CRNAČ,Presveto Srce Isusovo,,Crnač,4.342.794.119,1.758.653.052,,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/crnac/"" target=""_blank"">CRNAČ</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,DREŽNICA,Svi Sveti,,88420 Jablanica,4.353.655.606,1.772.405.929,063/843-712,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/dreznica/"" target=""_blank"">DREŽNICA</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,DRINOVCI,Sv. Mihovil Arkanđeo,,88344 Drinovci,4.336.832.047,1.728.819.683,036/672425,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/drinovci/"" target=""_blank"">DRINOVCI</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,DUVNO,Sv. Mihovil Arkanđeo,Trg fra Mije Čuića 1,80240 Tomislavgrad,4.372.347.642,1.723.011.112,034/356800,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/duvno/"" target=""_blank"">DUVNO</a>"
Mostarsko-duvanjska biskupija,Čapljinski dekanat,GABELA,Sv. Stjepan Prvomučenik,,88306 Gabela,4.306.475.818,1.768.474.297,036/821-225,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gabela/"" target=""_blank"">GABELA</a>"
Mostarsko-duvanjska biskupija,Čapljinski dekanat,GABELA POLJE,Presveto Trojstvo,,88306 Gabela,4.306.602.186,1.765.743.181,036/821-301,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gabela-polje/"" target=""_blank"">GABELA POLJE</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,GLAVATIČEVO,,,,4.349.740.131,1.808.839.049,,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/konjic/"" target=""_blank"">GLAVATIČEVO</a>"
Mostarsko-duvanjska biskupija,Mostarski dekanat,GORANCI,Uznesenje Blažene Djevice Marije,,88000 Mostar,43.419.572,1.775.720.084,036/381-102,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/goranci/"" target=""_blank"">GORANCI</a>"
Mostarsko-duvanjska biskupija,Grudski dekanat,GORICA,Sv. Stjepan Prvomučenik,,88345 Sovići,4.342.853.454,1.734.701.617,039/670-294,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gorica/"" target=""_blank"">GORICA</a>"
Mostarsko-duvanjska biskupija,Čapljinski dekanat,GORICA - STRUGE,Sv. Petar i Pavao,,88306 Gabela,4.309.120.049,1.769.414.565,036/808-471,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gorica-struge/"" target=""_blank"">GORICA - STRUGE</a>"
Mostarsko-duvanjska biskupija,Duvanjski dekanat,GRABOVICA,Sv. Ante Padovanski,,80245 Prisoje,4.365.370.948,1.708.979.666,034/366-704,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/grabovica/"" target=""_blank"">GRABOVICA</a>"
Mostarsko-duvanjska biskupija,Širokobriješki dekanat,GRADAC MOSTARSKI,Presveto Ime Isusovo,,88000 Mostar,4.340.921.913,1.765.460.712,036/487082,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gradac-mostarski/"" target=""_blank"">GRADAC MOSTARSKI</a>"
Mostarsko-duvanjska biskupija,Posuški dekanat,GRADAC POSUŠKI,Sv. Franjo Asiški,Broćanac,88243 Posušje,4.342.789.769,173.881.577,039/694-321,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gradac-posuski/"" target=""_blank"">GRADAC POSUŠKI</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,GRADINA,Mučeništvo sv. Ivana Krstitelja – Glavosjek,,88268 Biletići,4.321.057.073,1.773.332.209,036/640-171,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gradina/"" target=""_blank"">GRADINA</a>"
Mostarsko-duvanjska biskupija,Broćanski dekanat,GRADNIĆI,Sv. Blaž,,88260 Čitluk,4.323.977.787,177.271.852,036/642-006,"<a href=""https://biskupija-mostar.ba/zupni_ured_md/gradnici/"" target=""_blank"">GRADNIĆI</a>"
